day,reference_date,stop_id,stop,municipality,eligible_center,available_boarding_in_game,exclusion_reasons,scheduled_routes,departures,first_departure,last_departure,max_gap_minutes,latitude,longitude
sunday,2026-10-04,394,S Atherton St at W Beaver Ave Outbound,State College borough,True,True,,RP,14,10:06,17:41,35,40.79109,-77.8642
sunday,2026-10-04,377,S Atherton St near Unimart,State College borough,True,True,,RP,13,10:29,17:29,35,40.78438,-77.84715
sunday,2026-10-04,374,S Atherton near S Allen Street,State College borough,True,True,,RP,14,10:09,17:44,35,40.784737,-77.849043
sunday,2026-10-04,360,S Burrowes St at the James Elliott Bldg,State College borough,True,True,,WL,37,10:04,17:52,24,40.792136,-77.863248
sunday,2026-10-04,378,S Pugh St at Bradley Ave,State College borough,True,True,,RP,13,10:30,17:30,35,40.78502,-77.84488
sunday,2026-10-04,376,S Pugh St at E Ellen Ave,State College borough,True,True,,RP,13,10:30,17:30,35,40.78735,-77.84747
sunday,2026-10-04,366,S Pugh St at E Fairmount Ave,State College borough,True,True,,RP,13,10:33,17:33,35,40.79257,-77.85565
sunday,2026-10-04,367,S Pugh St at E Hamilton Ave Inbound,State College borough,True,True,,RP,13,10:32,17:32,35,40.79136,-77.85323
sunday,2026-10-04,398,S. Atherton St. near Parkway Plaza Apts,State College borough,True,True,,RP,14,10:08,17:43,35,40.78592,-77.85542
sunday,2026-10-04,54,Shortlidge Rd at White Building,State College borough,True,True,,"BL, NV",32,10:06,17:49,17,40.79905,-77.858991
sunday,2026-10-04,413,Southgate Dr at Highlandon Ct,State College borough,True,True,,RP,14,10:24,17:59,35,40.774545,-77.860625
sunday,2026-10-04,153,University Dr at Jordan Center Gate D,College township,True,True,,WL,37,10:19,17:55,24,40.80741,-77.85592
sunday,2026-10-04,152,University Dr at Lot 83 West,State College borough,True,True,,WL,37,10:17,17:53,24,40.80462,-77.85201
sunday,2026-10-04,563,University Drive ramp at The Meridian,State College borough,True,True,,WL,37,10:15,17:51,24,40.80123,-77.85152
sunday,2026-10-04,512,Vairo Blvd at The Pointe Outbound,Ferguson township,True,True,,NV,16,10:22,17:52,30,40.810001,-77.890587
sunday,2026-10-04,510,Vairo Blvd at Tremont Outbound,Ferguson township,True,True,,NV,16,10:23,17:53,30,40.81222,-77.88628
sunday,2026-10-04,503,Vairo Blvd at Vairo Village (Upper),Patton township,True,True,,NV,16,10:24,17:54,30,40.816269,-77.887268
sunday,2026-10-04,507,Vairo Blvd at Vairo Village(lower),Patton township,True,True,,NV,16,10:24,17:54,30,40.81544,-77.88426
sunday,2026-10-04,246,W Beaver Ave at S Barnard St,State College borough,True,True,,CC,16,10:28,17:58,30,40.78967,-77.86525
sunday,2026-10-04,289,W Beaver Ave at S Sparks St,State College borough,True,True,,CC,16,10:27,17:57,30,40.78802,-77.86745
sunday,2026-10-04,247,W College Ave at N Barnard St,State College borough,True,True,,"CC, NV",32,10:01,17:55,24,40.79103,-77.86617
sunday,2026-10-04,290,W College Ave at N Butz St,Ferguson township,True,True,,NV,16,10:02,17:32,30,40.78683,-77.8717
sunday,2026-10-04,288,W College Ave at N Sparks St,State College borough,True,True,,"CC, NV",32,10:02,17:56,24,40.78862,-77.86939
sunday,2026-10-04,292,W College Ave near Corl St,Ferguson township,True,True,,NV,16,10:03,17:33,30,40.784549,-77.874434
sunday,2026-10-04,285,Walker Building,State College borough,True,True,,BL,16,10:14,17:44,30,40.79267,-77.86681
sunday,2026-10-04,403,Waupelani Dr at Brexx,State College borough,True,True,,RP,13,10:28,17:28,35,40.782015,-77.850237
sunday,2026-10-04,406,Waupelani Dr at Executive House,State College borough,True,True,,RP,14,10:12,17:47,35,40.7796,-77.85425
sunday,2026-10-04,409,Waupelani Dr at Hearthside,State College borough,True,True,,RP,13,10:26,17:26,35,40.777605,-77.854585
sunday,2026-10-04,407,Waupelani Dr at Lions Gate Apts,State College borough,True,True,,RP,13,10:27,17:27,35,40.77982,-77.85395
sunday,2026-10-04,408,Waupelani Dr at Nittany Gardens Apts,State College borough,True,True,,RP,14,10:12,17:47,35,40.77789,-77.85471
sunday,2026-10-04,402,Waupelani Dr at S Allen St,State College borough,True,True,,RP,13,10:29,17:29,35,40.78383,-77.848515
sunday,2026-10-04,410,Waupelani Dr at Southgate Dr Inbound,State College borough,True,True,,RP,13,10:25,17:25,35,40.775585,-77.856265
sunday,2026-10-04,411,Waupelani Dr at Southgate Dr Outbound,State College borough,True,True,,RP,14,10:14,17:49,35,40.77533,-77.85663
sunday,2026-10-04,64,Waupelani Dr at Waupelani Lofts,State College borough,True,True,,RP,14,10:10,17:45,35,40.782265,-77.850159
sunday,2026-10-04,38,Waupelani Dr opposite Jaru Copy,State College borough,True,True,,RP,14,10:09,17:44,35,40.783595,-77.848728
sunday,2026-10-04,732,Waupelani Dr. at Briarwood Apts,State College borough,True,True,,RP,14,10:14,17:49,35,40.773922,-77.855912
sunday,2026-10-04,329,Waupelani Drive at OBryan Lane,State College borough,True,True,,RP,14,10:11,17:46,35,40.780695,-77.853079
sunday,2026-10-04,516,Williamsburg Sq. - Holiday Inn/Spring Hi,Patton township,True,True,,NV,16,10:26,17:56,30,40.816315,-77.896873
