day,reference_date,stop_id,stop,municipality,eligible_center,available_boarding_in_game,exclusion_reasons,scheduled_routes,departures,first_departure,last_departure,max_gap_minutes,latitude,longitude
saturday,2026-10-03,155,East Halls at Curtin Hall,State College borough,True,True,,"H, WL",67,10:01,17:57,24,40.80513,-77.86076
saturday,2026-10-03,373,Easterly Pkwy at Old Boalsburg Rd,State College borough,True,True,,AC,16,10:05,17:35,30,40.78815,-77.8494
saturday,2026-10-03,283,Hastings Rd at Forest Research Lab,State College borough,True,True,,BL,22,10:02,17:47,30,40.80509,-77.85108
saturday,2026-10-03,282,Hastings Rd at Lot 43 East,College township,True,True,,BL,22,10:01,17:46,30,40.80769,-77.8486
saturday,2026-10-03,5,Hastings Rd at University Drive,State College borough,True,True,,BL,22,10:03,17:48,30,40.804695,-77.85278
saturday,2026-10-03,477,Martin St at Park Crest Lane Inbound,Ferguson township,True,True,,N,15,10:31,17:58,33,40.801872,-77.887276
saturday,2026-10-03,478,Martin St at Park Crest Lane Outbound,Ferguson township,True,True,,N,15,10:30,17:58,33,40.8019770639,-77.8871271638
saturday,2026-10-03,481,Martin Street at Herman Drive,Ferguson township,True,True,,N,15,10:30,17:57,33,40.8044836032,-77.8913654038
saturday,2026-10-03,518,Middle of Oakwood Ave Inbound,Patton township,True,True,,V,15,10:23,17:51,35,40.818726,-77.893219
saturday,2026-10-03,501,Middle of Oakwood Ave Outbound,Patton township,True,True,,V,15,10:09,17:38,35,40.81886,-77.89325
saturday,2026-10-03,522,N Atheron at Champs,Ferguson township,True,True,,"AC, V",30,10:07,17:37,30,40.807671,-77.892625
saturday,2026-10-03,521,N Atherton Pl at McDonalds,Patton township,True,True,,"AC, V",30,10:01,17:39,30,40.808894,-77.896201
saturday,2026-10-03,520,N Atherton Pl at Walmart,Patton township,True,True,,"AC, V",31,10:00,17:43,30,40.809042,-77.896356
saturday,2026-10-03,420,N Atherton St at Arbor Way,State College borough,True,True,,"AC, N, V, W",55,10:04,17:51,29,40.79812,-77.87484
saturday,2026-10-03,499,N Atherton St at Chick-Fil-A,Patton township,True,True,,"H, N",27,10:01,17:51,32,40.809163,-77.906342
saturday,2026-10-03,500,N Atherton St at Colonnade Blvd,Patton township,True,True,,N,15,10:09,17:37,33,40.809495,-77.907497
saturday,2026-10-03,524,N Atherton St at Denton Ave,Ferguson township,True,True,,"AC, V",30,10:06,17:36,30,40.806147,-77.888714
saturday,2026-10-03,527,N Atherton St at E Clinton Ave,Ferguson township,True,True,,"AC, V",31,10:05,17:58,30,40.803445,-77.883648
saturday,2026-10-03,473,N Atherton St at Fairwood Lane,Patton township,True,True,,AC,16,10:06,17:36,30,40.809765,-77.91147
saturday,2026-10-03,472,N Atherton St at Hawbaker Industrial Dr,Patton township,True,True,,AC,16,10:27,17:57,30,40.81029,-77.913947
saturday,2026-10-03,7,N Atherton St at Hillcrest Ave,State College borough,True,True,,"AC, N, V, W",54,10:03,17:56,30,40.798056,-77.874489
saturday,2026-10-03,47,N Atherton St at Mitchell Ave Inbound,State College borough,True,True,,"AC, N, V, W",55,10:03,17:50,29,40.80027,-77.87804
saturday,2026-10-03,525,N Atherton St at N Hills Place Inbound,Ferguson township,True,True,,"AC, V",31,10:04,17:47,30,40.805255,-77.88742
saturday,2026-10-03,526,N Atherton St at N Hills Place Outbound,Ferguson township,True,True,,"AC, V",30,10:06,17:59,30,40.805164,-77.886925
saturday,2026-10-03,474,N Atherton St near Fairfield Inn,Patton township,True,True,,AC,16,10:26,17:56,30,40.809807,-77.910067
saturday,2026-10-03,705,N Atherton St near Staples,Ferguson township,True,True,,"AC, V",31,10:02,17:45,30,40.807647,-77.893663
saturday,2026-10-03,8,N. Atherton St at CVS,Ferguson township,True,True,,"AC, N, V, W",54,10:04,17:58,29,40.801405,-77.879826
saturday,2026-10-03,424,Northland Center Inbound,Ferguson township,True,True,,"N, W",26,10:00,17:59,32,40.802559,-77.885834
saturday,2026-10-03,423,Northland Center Outbound,Ferguson township,True,True,,"N, W",24,10:17,17:57,32,40.802559,-77.885963
saturday,2026-10-03,519,Oakwood Ave at Benjamin Ct,Patton township,True,True,,V,15,10:24,17:52,35,40.818935,-77.889603
saturday,2026-10-03,517,Oakwood Ave at Texas Roadhouse,Patton township,True,True,,V,15,10:22,17:50,35,40.816196,-77.896767
saturday,2026-10-03,714,Oakwood Ave at Vairo Village Comm Ctr,Patton township,True,True,,V,15,10:08,17:37,35,40.81745,-77.889
saturday,2026-10-03,160,Opposite 1031 E College Ave,College township,True,True,,CC,18,10:16,17:55,27,40.80607,-77.84031
saturday,2026-10-03,480,Opposite 1400 Martin St,Ferguson township,True,True,,N,15,10:30,17:58,33,40.803079,-77.888692
saturday,2026-10-03,363,Opposite 240 S Pugh St,State College borough,True,True,,AC,16,10:26,17:56,30,40.793773,-77.858053
saturday,2026-10-03,710,Opposite 972 Oakwood Ave,Patton township,True,True,,V,15,10:22,17:50,35,40.818066,-77.89621
saturday,2026-10-03,494,Park Forest Ave Opposite Northbrook,Patton township,True,True,,N,15,10:25,17:52,33,40.807541,-77.903569
saturday,2026-10-03,496,Park Forest Ave at N Atherton Inbound,Patton township,True,True,,N,15,10:24,17:51,33,40.808502,-77.902283
saturday,2026-10-03,495,Park Forest Ave at N Atherton Outbound,Patton township,True,True,,N,15,10:05,17:33,33,40.808365,-77.902205
saturday,2026-10-03,493,Park Forest Ave at Northbrook Greens,Patton township,True,True,,N,15,10:04,17:32,33,40.807479,-77.903377
saturday,2026-10-03,485,Park Lane at Aaron Dr,Ferguson township,True,True,,N,15,10:27,17:54,33,40.80125,-77.90033
saturday,2026-10-03,487,Park Lane at Cornwall Rd Inbound,Patton township,True,True,,N,15,10:27,17:54,33,40.80256,-77.90159
saturday,2026-10-03,488,Park Lane at Cornwall Rd Outbound,Ferguson township,True,True,,N,15,10:02,17:30,33,40.80251,-77.90135
saturday,2026-10-03,486,Park Lane at Devonshire Dr,Ferguson township,True,True,,N,15,10:02,17:30,33,40.801315,-77.90023
saturday,2026-10-03,491,Park Lane at Park Forest Ave Inbound,Patton township,True,True,,N,15,10:26,17:53,33,40.806595,-77.90534
saturday,2026-10-03,492,Park Lane at Park Forest Ave Outbound,Patton township,True,True,,N,15,10:03,17:31,33,40.806629,-77.90522
saturday,2026-10-03,490,Park Lane at Shannon Lane,Patton township,True,True,,N,15,10:03,17:31,33,40.804783,-77.904411
saturday,2026-10-03,489,Park Lane at Sierra Lane,Patton township,True,True,,N,15,10:26,17:53,33,40.804787,-77.904572
saturday,2026-10-03,4,Pattee Transit Center Eastbound,State College borough,True,True,,"BL, H, N, R, V, W",80,10:07,17:52,23,40.797836,-77.866722
saturday,2026-10-03,357,Pattee Transit Center Westbound,State College borough,True,True,,WL,56,10:04,17:56,24,40.79739,-77.86752
saturday,2026-10-03,55,Pollock Rd at Millennium Science Cplx,State College borough,True,True,,"BL, H, N, R, V, W",77,10:00,17:58,21,40.80127,-77.85906
saturday,2026-10-03,279,Porter Rd at Beaver Stadium East,College township,True,True,,H,12,10:33,17:53,40,40.8136,-77.85516
saturday,2026-10-03,281,Porter Rd at Jordan East Parking,College township,True,True,,BL,22,10:00,17:45,30,40.8111015565,-77.8527997319
saturday,2026-10-03,401,S Atherton St at Centre Lane,State College borough,True,True,,R,15,10:07,17:56,42,40.78499,-77.84956
saturday,2026-10-03,396,S Atherton St at Fairmount Ave Outbound,State College borough,True,True,,R,14,10:31,17:49,43,40.78816,-77.86038
saturday,2026-10-03,380,S Atherton St at Norma Street,State College borough,True,True,,AC,16,10:08,17:38,30,40.78465,-77.84162
saturday,2026-10-03,394,S Atherton St at W Beaver Ave Outbound,State College borough,True,True,,R,14,10:30,17:48,43,40.79109,-77.8642
saturday,2026-10-03,397,S Atherton St at W Fairmount Ave Inbound,State College borough,True,True,,R,15,10:10,17:59,42,40.788115,-77.860035
saturday,2026-10-03,381,S Atherton St at Whitehall Rd,State College borough,True,True,,AC,16,10:20,17:50,30,40.7847898765,-77.8417207424
saturday,2026-10-03,377,S Atherton St near Unimart,State College borough,True,True,,AC,16,10:07,17:37,30,40.78438,-77.84715
saturday,2026-10-03,395,S Atherton Street at Highland Alley,State College borough,True,True,,R,14,10:11,17:29,42,40.790469,-77.863144
saturday,2026-10-03,374,S Atherton near S Allen Street,State College borough,True,True,,R,15,10:02,17:52,43,40.784737,-77.849043
saturday,2026-10-03,360,S Burrowes St at the James Elliott Bldg,State College borough,True,True,,"AC, WL",71,10:08,17:55,17,40.792136,-77.863248
saturday,2026-10-03,378,S Pugh St at Bradley Ave,State College borough,True,True,,AC,16,10:21,17:51,30,40.78502,-77.84488
saturday,2026-10-03,376,S Pugh St at E Ellen Ave,State College borough,True,True,,AC,16,10:21,17:51,30,40.78735,-77.84747
saturday,2026-10-03,366,S Pugh St at E Fairmount Ave,State College borough,True,True,,AC,16,10:25,17:55,30,40.79257,-77.85565
saturday,2026-10-03,367,S Pugh St at E Hamilton Ave Inbound,State College borough,True,True,,AC,16,10:24,17:54,30,40.79136,-77.85323
saturday,2026-10-03,368,S Pugh St at E Hamilton Ave Outbound,State College borough,True,True,,AC,16,10:03,17:33,30,40.79128,-77.85326
saturday,2026-10-03,365,S Pugh St at E Nittany Ave,State College borough,True,True,,AC,16,10:02,17:32,30,40.79268,-77.85609
saturday,2026-10-03,369,S Pugh St at Waring Ave,State College borough,True,True,,AC,16,10:04,17:34,30,40.79009,-77.85077
